Date,"Page description","Series code",Count
"Jun 2018",Abstracts,rest,40923
"Jun 2018",Abstracts,jocn,29762
"Jun 2018",Abstracts,neco,21951
"Jun 2018",Abstracts,isec,12852
"Jun 2018",Abstracts,pres,8301
"Jun 2018",Abstracts,leon,6199
"Jun 2018",Abstracts,glep,5506
"Jun 2018",Abstracts,desi,5114
"Jun 2018",Abstracts,daed,4901
"Jun 2018",Abstracts,evco,4417
"Jun 2018",Abstracts,afar,4410
"Jun 2018",Abstracts,coli,4257
"Jun 2018",Abstracts,dram,3711
"Jun 2018",Abstracts,octo,3617
"Jun 2018",Abstracts,edfp,3215
"Jun 2018",Abstracts,jinh,2978
"Jun 2018",Abstracts,jcws,2956
"Jun 2018",Abstracts,comj,2626
"Jun 2018",Abstracts,artl,2392
"Jun 2018",Abstracts,grey,2099
"Jun 2018",Abstracts,ling,2045
"Jun 2018",Abstracts,asep,1857
"Jun 2018",Abstracts,netn,1498
"Jun 2018",Abstracts,pajj,1304
"Jun 2018",Abstracts,posc,1202
"Jun 2018",Abstracts,itgg,1124
"Jun 2018",Abstracts,lmj,1118
"Jun 2018",Abstracts,ajhe,1062
"Jun 2018",Abstracts,tneq,1008
"Jun 2018",Abstracts,artm,802
"Jun 2018",Abstracts,ecal,555
"Jun 2018",Abstracts,adev,240
"Jun 2018",Abstracts,thld,178
"Jun 2018",Abstracts,cpsy,158
"Jun 2018",Abstracts,opmi,92
"Jun 2018",Abstracts,isal,76
"Jun 2018",Abstracts,live,21
"Jun 2018",Abstracts,pam,20
"Jun 2018","Full-text PDF",rest,17224
"Jun 2018","Full-text PDF",neco,11370
"Jun 2018","Full-text PDF",jocn,11043
"Jun 2018","Full-text PDF",isec,9903
"Jun 2018","Full-text PDF",coli,7640
"Jun 2018","Full-text PDF",itgg,6107
"Jun 2018","Full-text PDF",desi,4808
"Jun 2018","Full-text PDF",daed,3448
"Jun 2018","Full-text PDF",afar,3341
"Jun 2018","Full-text PDF",leon,3103
"Jun 2018","Full-text PDF",pres,3043
"Jun 2018","Full-text PDF",octo,2932
"Jun 2018","Full-text PDF",glep,2726
"Jun 2018","Full-text PDF",comj,2251
"Jun 2018","Full-text PDF",grey,1886
"Jun 2018","Full-text PDF",dram,1791
"Jun 2018","Full-text PDF",adev,1775
"Jun 2018","Full-text PDF",jcws,1756
"Jun 2018","Full-text PDF",jinh,1749
"Jun 2018","Full-text PDF",edfp,1653
"Jun 2018","Full-text PDF",netn,1463
"Jun 2018","Full-text PDF",ling,1433
"Jun 2018","Full-text PDF",evco,1291
"Jun 2018","Full-text PDF",artl,1132
"Jun 2018","Full-text PDF",asep,1122
"Jun 2018","Full-text PDF",pajj,972
"Jun 2018","Full-text PDF",posc,883
"Jun 2018","Full-text PDF",tneq,737
"Jun 2018","Full-text PDF",ecal,533
"Jun 2018","Full-text PDF",ajhe,493
"Jun 2018","Full-text PDF",lmj,426
"Jun 2018","Full-text PDF",artm,405
"Jun 2018","Full-text PDF",cpsy,177
"Jun 2018","Full-text PDF",opmi,154
"Jun 2018","Full-text PDF",thld,130
"Jun 2018","Full-text PDF",isal,12
"Jun 2018","Full-text PDF",pam,12
"Jun 2018","Full-text PDF",live,4
"Jun 2018","Full-text HTML",jocn,7114
"Jun 2018","Full-text HTML",neco,3032
"Jun 2018","Full-text HTML",isec,2905
"Jun 2018","Full-text HTML",coli,1972
"Jun 2018","Full-text HTML",netn,1027
"Jun 2018","Full-text HTML",daed,1018
"Jun 2018","Full-text HTML",glep,979
"Jun 2018","Full-text HTML",edfp,934
"Jun 2018","Full-text HTML",ajhe,897
"Jun 2018","Full-text HTML",jinh,756
"Jun 2018","Full-text HTML",jcws,639
"Jun 2018","Full-text HTML",adev,602
"Jun 2018","Full-text HTML",evco,587
"Jun 2018","Full-text HTML",artl,556
"Jun 2018","Full-text HTML",ling,506
"Jun 2018","Full-text HTML",asep,386
"Jun 2018","Full-text HTML",afar,286
"Jun 2018","Full-text HTML",posc,215
"Jun 2018","Full-text HTML",cpsy,174
"Jun 2018","Full-text HTML",opmi,103
"Jun 2018","Full-text HTML",desi,5
"Jun 2018","Full-text HTML",artm,4
"Jun 2018","Full-text HTML",octo,4
"Jun 2018","Full-text HTML",leon,3
"Jun 2018","Full-text HTML",comj,2
"Jun 2018","Full-text HTML",dram,1
"Jun 2018","Full-text HTML",grey,1
"Jun 2018","Full-text HTML",lmj,1
"Jun 2018","Full-text HTML",pajj,1
"Jun 2018","Full-text HTML",pres,1
"Jun 2018","Full-text HTML",rest,1
"Jun 2018","Full-text EPUB",isec,74
"Jun 2018","Full-text EPUB",daed,24
"Jun 2018","Full-text EPUB",afar,7
"Jul 2018",Abstracts,rest,58845
"Jul 2018",Abstracts,jocn,36602
"Jul 2018",Abstracts,neco,28113
"Jul 2018",Abstracts,isec,15415
"Jul 2018",Abstracts,pres,9863
"Jul 2018",Abstracts,glep,7714
"Jul 2018",Abstracts,daed,7557
"Jul 2018",Abstracts,desi,7480
"Jul 2018",Abstracts,leon,7435
"Jul 2018",Abstracts,octo,5709
"Jul 2018",Abstracts,evco,5440
"Jul 2018",Abstracts,coli,5157
"Jul 2018",Abstracts,edfp,4749
"Jul 2018",Abstracts,dram,4325
"Jul 2018",Abstracts,isal,3974
"Jul 2018",Abstracts,jcws,3652
"Jul 2018",Abstracts,ling,3616
"Jul 2018",Abstracts,artl,3434
"Jul 2018",Abstracts,itgg,3332
"Jul 2018",Abstracts,afar,2907
"Jul 2018",Abstracts,jinh,2827
"Jul 2018",Abstracts,comj,2801
"Jul 2018",Abstracts,asep,2517
"Jul 2018",Abstracts,grey,2371
"Jul 2018",Abstracts,netn,2039
"Jul 2018",Abstracts,posc,1530
"Jul 2018",Abstracts,ajhe,1465
"Jul 2018",Abstracts,lmj,1303
"Jul 2018",Abstracts,pajj,1292
"Jul 2018",Abstracts,tneq,1086
"Jul 2018",Abstracts,artm,1003
"Jul 2018",Abstracts,ecal,453
"Jul 2018",Abstracts,cpsy,375
"Jul 2018",Abstracts,adev,246
"Jul 2018",Abstracts,thld,233
"Jul 2018",Abstracts,opmi,121
"Jul 2018",Abstracts,live,39
"Jul 2018",Abstracts,pam,32
"Jul 2018","Full-text PDF",rest,22796
"Jul 2018","Full-text PDF",jocn,13507
"Jul 2018","Full-text PDF",isec,12891
"Jul 2018","Full-text PDF",neco,12805
"Jul 2018","Full-text PDF",itgg,12132
"Jul 2018","Full-text PDF",coli,10591
"Jul 2018","Full-text PDF",desi,7684
"Jul 2018","Full-text PDF",daed,6045
"Jul 2018","Full-text PDF",isal,4712
"Jul 2018","Full-text PDF",octo,4476
"Jul 2018","Full-text PDF",leon,4289
"Jul 2018","Full-text PDF",pres,3869
"Jul 2018","Full-text PDF",glep,3374
"Jul 2018","Full-text PDF",ling,2906
"Jul 2018","Full-text PDF",comj,2905
"Jul 2018","Full-text PDF",adev,2499
"Jul 2018","Full-text PDF",dram,2497
"Jul 2018","Full-text PDF",grey,2203
"Jul 2018","Full-text PDF",edfp,2132
"Jul 2018","Full-text PDF",jcws,2112
"Jul 2018","Full-text PDF",netn,1782
"Jul 2018","Full-text PDF",evco,1673
"Jul 2018","Full-text PDF",afar,1612
"Jul 2018","Full-text PDF",jinh,1531
"Jul 2018","Full-text PDF",asep,1481
"Jul 2018","Full-text PDF",artl,1429
"Jul 2018","Full-text PDF",pajj,1059
"Jul 2018","Full-text PDF",posc,1049
"Jul 2018","Full-text PDF",tneq,914
"Jul 2018","Full-text PDF",artm,845
"Jul 2018","Full-text PDF",lmj,718
"Jul 2018","Full-text PDF",ajhe,617
"Jul 2018","Full-text PDF",ecal,443
"Jul 2018","Full-text PDF",cpsy,262
"Jul 2018","Full-text PDF",thld,246
"Jul 2018","Full-text PDF",opmi,160
"Jul 2018","Full-text PDF",pam,26
"Jul 2018","Full-text PDF",live,17
"Jul 2018","Full-text HTML",jocn,9959
"Jul 2018","Full-text HTML",isec,4377
"Jul 2018","Full-text HTML",neco,4174
"Jul 2018","Full-text HTML",coli,2822
"Jul 2018","Full-text HTML",daed,2333
"Jul 2018","Full-text HTML",edfp,1533
"Jul 2018","Full-text HTML",glep,1354
"Jul 2018","Full-text HTML",ling,1176
"Jul 2018","Full-text HTML",adev,955
"Jul 2018","Full-text HTML",artl,950
"Jul 2018","Full-text HTML",netn,948
"Jul 2018","Full-text HTML",jcws,816
"Jul 2018","Full-text HTML",ajhe,809
"Jul 2018","Full-text HTML",evco,760
"Jul 2018","Full-text HTML",jinh,683
"Jul 2018","Full-text HTML",asep,645
"Jul 2018","Full-text HTML",cpsy,429
"Jul 2018","Full-text HTML",afar,418
"Jul 2018","Full-text HTML",posc,341
"Jul 2018","Full-text HTML",rest,227
"Jul 2018","Full-text HTML",opmi,134
"Jul 2018","Full-text HTML",octo,119
"Jul 2018","Full-text HTML",leon,74
"Jul 2018","Full-text HTML",isal,70
"Jul 2018","Full-text HTML",dram,52
"Jul 2018","Full-text HTML",desi,39
"Jul 2018","Full-text HTML",comj,30
"Jul 2018","Full-text HTML",grey,30
"Jul 2018","Full-text HTML",pres,29
"Jul 2018","Full-text HTML",pajj,19
"Jul 2018","Full-text HTML",tneq,12
"Jul 2018","Full-text HTML",lmj,8
"Jul 2018","Full-text HTML",artm,6
"Jul 2018","Full-text HTML",thld,4
"Jul 2018","Full-text EPUB",isec,58
"Jul 2018","Full-text EPUB",daed,48
"Jul 2018","Full-text EPUB",afar,9
"Aug 2018",Abstracts,rest,60091
"Aug 2018",Abstracts,jocn,38491
"Aug 2018",Abstracts,neco,27533
"Aug 2018",Abstracts,isec,19725
"Aug 2018",Abstracts,leon,12023
"Aug 2018",Abstracts,pres,10822
"Aug 2018",Abstracts,desi,8933
"Aug 2018",Abstracts,glep,8477
"Aug 2018",Abstracts,daed,8313
"Aug 2018",Abstracts,octo,6932
"Aug 2018",Abstracts,evco,5823
"Aug 2018",Abstracts,coli,5538
"Aug 2018",Abstracts,dram,5509
"Aug 2018",Abstracts,jcws,4591
"Aug 2018",Abstracts,edfp,4334
"Aug 2018",Abstracts,jinh,3965
"Aug 2018",Abstracts,afar,3626
"Aug 2018",Abstracts,ling,3563
"Aug 2018",Abstracts,artl,3355
"Aug 2018",Abstracts,grey,3254
"Aug 2018",Abstracts,comj,3026
"Aug 2018",Abstracts,asep,2840
"Aug 2018",Abstracts,ajhe,2801
"Aug 2018",Abstracts,isal,2390
"Aug 2018",Abstracts,itgg,2388
"Aug 2018",Abstracts,posc,2142
"Aug 2018",Abstracts,netn,2115
