Date,"Page description","Series code",Count
"Mar 2018",Abstracts,rest,92260
"Mar 2018",Abstracts,jocn,61070
"Mar 2018",Abstracts,neco,37767
"Mar 2018",Abstracts,isec,31042
"Mar 2018",Abstracts,pres,17025
"Mar 2018",Abstracts,leon,15319
"Mar 2018",Abstracts,daed,14042
"Mar 2018",Abstracts,glep,11102
"Mar 2018",Abstracts,desi,10774
"Mar 2018",Abstracts,octo,9615
"Mar 2018",Abstracts,dram,7954
"Mar 2018",Abstracts,afar,6940
"Mar 2018",Abstracts,coli,6687
"Mar 2018",Abstracts,evco,6414
"Mar 2018",Abstracts,edfp,6227
"Mar 2018",Abstracts,jcws,6128
"Mar 2018",Abstracts,jinh,5391
"Mar 2018",Abstracts,comj,4861
"Mar 2018",Abstracts,artl,4115
"Mar 2018",Abstracts,grey,3882
"Mar 2018",Abstracts,asep,3621
"Mar 2018",Abstracts,ling,3574
"Mar 2018",Abstracts,tneq,3089
"Mar 2018",Abstracts,pajj,3005
"Mar 2018",Abstracts,posc,2827
"Mar 2018",Abstracts,netn,2197
"Mar 2018",Abstracts,lmj,1986
"Mar 2018",Abstracts,ajhe,1922
"Mar 2018",Abstracts,itgg,1765
"Mar 2018",Abstracts,artm,1159
"Mar 2018",Abstracts,adev,1022
"Mar 2018",Abstracts,cpsy,337
"Mar 2018",Abstracts,thld,210
"Mar 2018",Abstracts,opmi,153
"Mar 2018",Abstracts,live,84
"Mar 2018",Abstracts,pam,64
"Mar 2018","Full-text PDF",rest,29871
"Mar 2018","Full-text PDF",isec,22871
"Mar 2018","Full-text PDF",jocn,14097
"Mar 2018","Full-text PDF",neco,13653
"Mar 2018","Full-text PDF",coli,11572
"Mar 2018","Full-text PDF",itgg,10039
"Mar 2018","Full-text PDF",daed,9461
"Mar 2018","Full-text PDF",desi,8489
"Mar 2018","Full-text PDF",leon,7239
"Mar 2018","Full-text PDF",jcws,6617
"Mar 2018","Full-text PDF",octo,5550
"Mar 2018","Full-text PDF",glep,5312
"Mar 2018","Full-text PDF",pres,5307
"Mar 2018","Full-text PDF",afar,4951
"Mar 2018","Full-text PDF",dram,4509
"Mar 2018","Full-text PDF",jinh,4320
"Mar 2018","Full-text PDF",adev,3428
"Mar 2018","Full-text PDF",comj,3232
"Mar 2018","Full-text PDF",grey,3089
"Mar 2018","Full-text PDF",edfp,2496
"Mar 2018","Full-text PDF",ling,2342
"Mar 2018","Full-text PDF",evco,2264
"Mar 2018","Full-text PDF",artl,1824
"Mar 2018","Full-text PDF",asep,1774
"Mar 2018","Full-text PDF",pajj,1663
"Mar 2018","Full-text PDF",tneq,1455
"Mar 2018","Full-text PDF",netn,1362
"Mar 2018","Full-text PDF",posc,1282
"Mar 2018","Full-text PDF",lmj,1082
"Mar 2018","Full-text PDF",ajhe,753
"Mar 2018","Full-text PDF",artm,611
"Mar 2018","Full-text PDF",cpsy,300
"Mar 2018","Full-text PDF",opmi,183
"Mar 2018","Full-text PDF",pam,168
"Mar 2018","Full-text PDF",thld,113
"Mar 2018","Full-text PDF",live,29
"Mar 2018","Full-text HTML",jocn,13763
"Mar 2018","Full-text HTML",isec,6118
"Mar 2018","Full-text HTML",daed,5721
"Mar 2018","Full-text HTML",neco,4549
"Mar 2018","Full-text HTML",coli,3305
"Mar 2018","Full-text HTML",edfp,2185
"Mar 2018","Full-text HTML",glep,2118
"Mar 2018","Full-text HTML",rest,1804
"Mar 2018","Full-text HTML",jinh,1650
"Mar 2018","Full-text HTML",jcws,1156
"Mar 2018","Full-text HTML",artl,1130
"Mar 2018","Full-text HTML",ling,989
"Mar 2018","Full-text HTML",evco,894
"Mar 2018","Full-text HTML",adev,884
"Mar 2018","Full-text HTML",netn,855
"Mar 2018","Full-text HTML",asep,850
"Mar 2018","Full-text HTML",afar,782
"Mar 2018","Full-text HTML",ajhe,731
"Mar 2018","Full-text HTML",posc,406
"Mar 2018","Full-text HTML",leon,326
"Mar 2018","Full-text HTML",cpsy,319
"Mar 2018","Full-text HTML",desi,283
"Mar 2018","Full-text HTML",octo,269
"Mar 2018","Full-text HTML",dram,261
"Mar 2018","Full-text HTML",pres,205
"Mar 2018","Full-text HTML",opmi,181
"Mar 2018","Full-text HTML",grey,122
"Mar 2018","Full-text HTML",comj,107
"Mar 2018","Full-text HTML",pajj,69
"Mar 2018","Full-text HTML",lmj,52
"Mar 2018","Full-text HTML",tneq,48
"Mar 2018","Full-text HTML",artm,31
"Mar 2018","Full-text HTML",thld,8
"Mar 2018","Full-text HTML",pam,4
"Mar 2018","Full-text HTML",live,3
"Mar 2018","Full-text EPUB",isec,101
"Mar 2018","Full-text EPUB",daed,84
"Mar 2018","Full-text EPUB",afar,6
"Apr 2018",Abstracts,rest,93416
"Apr 2018",Abstracts,jocn,71686
"Apr 2018",Abstracts,neco,44882
"Apr 2018",Abstracts,isec,36802
"Apr 2018",Abstracts,leon,19718
"Apr 2018",Abstracts,pres,18973
"Apr 2018",Abstracts,glep,16108
"Apr 2018",Abstracts,daed,15648
"Apr 2018",Abstracts,afar,13179
"Apr 2018",Abstracts,desi,12976
"Apr 2018",Abstracts,jcws,11131
"Apr 2018",Abstracts,octo,9723
"Apr 2018",Abstracts,dram,8962
"Apr 2018",Abstracts,jinh,8642
"Apr 2018",Abstracts,edfp,8016
"Apr 2018",Abstracts,coli,7364
"Apr 2018",Abstracts,evco,7351
"Apr 2018",Abstracts,comj,6757
"Apr 2018",Abstracts,artl,6343
"Apr 2018",Abstracts,ling,5427
"Apr 2018",Abstracts,grey,5014
"Apr 2018",Abstracts,asep,4788
"Apr 2018",Abstracts,posc,3375
"Apr 2018",Abstracts,pajj,3279
"Apr 2018",Abstracts,tneq,3251
"Apr 2018",Abstracts,lmj,2989
"Apr 2018",Abstracts,ajhe,2741
"Apr 2018",Abstracts,itgg,2719
"Apr 2018",Abstracts,netn,2252
"Apr 2018",Abstracts,artm,1554
"Apr 2018",Abstracts,adev,647
"Apr 2018",Abstracts,cpsy,417
"Apr 2018",Abstracts,thld,165
"Apr 2018",Abstracts,opmi,153
"Apr 2018",Abstracts,live,108
"Apr 2018",Abstracts,pam,65
"Apr 2018","Full-text PDF",rest,33159
"Apr 2018","Full-text PDF",isec,25792
"Apr 2018","Full-text PDF",itgg,25536
"Apr 2018","Full-text PDF",jocn,17924
"Apr 2018","Full-text PDF",neco,17632
"Apr 2018","Full-text PDF",coli,14777
"Apr 2018","Full-text PDF",daed,10618
"Apr 2018","Full-text PDF",afar,9838
"Apr 2018","Full-text PDF",desi,9462
"Apr 2018","Full-text PDF",leon,8781
"Apr 2018","Full-text PDF",glep,8180
"Apr 2018","Full-text PDF",jcws,8152
"Apr 2018","Full-text PDF",octo,6603
"Apr 2018","Full-text PDF",pres,6092
"Apr 2018","Full-text PDF",comj,4975
"Apr 2018","Full-text PDF",dram,4607
"Apr 2018","Full-text PDF",grey,4027
"Apr 2018","Full-text PDF",adev,3975
"Apr 2018","Full-text PDF",jinh,3621
"Apr 2018","Full-text PDF",edfp,3217
"Apr 2018","Full-text PDF",ling,3035
"Apr 2018","Full-text PDF",evco,2108
"Apr 2018","Full-text PDF",asep,2075
"Apr 2018","Full-text PDF",artl,2007
"Apr 2018","Full-text PDF",pajj,2000
"Apr 2018","Full-text PDF",tneq,1884
"Apr 2018","Full-text PDF",posc,1700
"Apr 2018","Full-text PDF",netn,1620
"Apr 2018","Full-text PDF",lmj,1131
"Apr 2018","Full-text PDF",ajhe,1041
"Apr 2018","Full-text PDF",artm,682
"Apr 2018","Full-text PDF",cpsy,335
"Apr 2018","Full-text PDF",opmi,203
"Apr 2018","Full-text PDF",thld,177
"Apr 2018","Full-text PDF",pam,44
"Apr 2018","Full-text PDF",live,33
"Apr 2018","Full-text HTML",jocn,16545
"Apr 2018","Full-text HTML",isec,6755
"Apr 2018","Full-text HTML",neco,5936
"Apr 2018","Full-text HTML",daed,4689
"Apr 2018","Full-text HTML",coli,3972
"Apr 2018","Full-text HTML",glep,2776
"Apr 2018","Full-text HTML",edfp,2520
"Apr 2018","Full-text HTML",jcws,2305
"Apr 2018","Full-text HTML",rest,1618
"Apr 2018","Full-text HTML",jinh,1468
"Apr 2018","Full-text HTML",artl,1405
"Apr 2018","Full-text HTML",ling,1325
"Apr 2018","Full-text HTML",ajhe,1204
"Apr 2018","Full-text HTML",asep,1142
"Apr 2018","Full-text HTML",netn,1048
"Apr 2018","Full-text HTML",adev,990
"Apr 2018","Full-text HTML",afar,990
"Apr 2018","Full-text HTML",evco,914
"Apr 2018","Full-text HTML",posc,879
"Apr 2018","Full-text HTML",cpsy,684
"Apr 2018","Full-text HTML",leon,485
"Apr 2018","Full-text HTML",opmi,329
"Apr 2018","Full-text HTML",octo,318
"Apr 2018","Full-text HTML",dram,298
"Apr 2018","Full-text HTML",desi,296
"Apr 2018","Full-text HTML",pres,197
"Apr 2018","Full-text HTML",grey,164
"Apr 2018","Full-text HTML",comj,142
"Apr 2018","Full-text HTML",pajj,78
"Apr 2018","Full-text HTML",tneq,69
"Apr 2018","Full-text HTML",lmj,58
"Apr 2018","Full-text HTML",artm,44
"Apr 2018","Full-text HTML",thld,6
"Apr 2018","Full-text HTML",live,2
"Apr 2018","Full-text EPUB",isec,134
"Apr 2018","Full-text EPUB",daed,83
"Apr 2018","Full-text EPUB",afar,14
"May 2018",Abstracts,rest,77735
"May 2018",Abstracts,jocn,67276
"May 2018",Abstracts,neco,40411
"May 2018",Abstracts,isec,36783
"May 2018",Abstracts,pres,15540
"May 2018",Abstracts,glep,12841
"May 2018",Abstracts,leon,12822
"May 2018",Abstracts,daed,11849
"May 2018",Abstracts,desi,10840
"May 2018",Abstracts,jcws,8797
"May 2018",Abstracts,octo,8723
"May 2018",Abstracts,dram,7457
"May 2018",Abstracts,evco,7111
"May 2018",Abstracts,coli,7032
"May 2018",Abstracts,afar,7030
"May 2018",Abstracts,jinh,6568
"May 2018",Abstracts,edfp,5559
"May 2018",Abstracts,artl,5111
"May 2018",Abstracts,comj,4299
"May 2018",Abstracts,ling,4242
"May 2018",Abstracts,asep,3773
"May 2018",Abstracts,grey,3726
"May 2018",Abstracts,pajj,3246
"May 2018",Abstracts,ajhe,2953
"May 2018",Abstracts,netn,2540
"May 2018",Abstracts,posc,2504
"May 2018",Abstracts,itgg,2072
"May 2018",Abstracts,lmj,2064
"May 2018",Abstracts,tneq,1963
"May 2018",Abstracts,artm,1552
"May 2018",Abstracts,thld,469
"May 2018",Abstracts,adev,403
"May 2018",Abstracts,ecal,305
"May 2018",Abstracts,cpsy,279
"May 2018",Abstracts,opmi,128
"May 2018",Abstracts,pam,70
"May 2018",Abstracts,live,54
"May 2018","Full-text PDF",rest,28855
"May 2018","Full-text PDF",isec,26515
"May 2018","Full-text PDF",jocn,16685
"May 2018","Full-text PDF",neco,15885
"May 2018","Full-text PDF",coli,14544
"May 2018","Full-text PDF",itgg,12174
"May 2018","Full-text PDF",desi,8992
