"Country name",Count
"United States",143635
"United Kingdom",58274
Australia,15897
Canada,14343
China,13587
India,12502
Germany,9679
Netherlands,8988
Japan,8289
Pakistan,6062
Turkey,5353
France,4764
Taiwan,4571
"South Korea",4436
Italy,4239
Switzerland,3727
Singapore,3303
"New Zealand",3242
Indonesia,3239
Israel,3215
"Hong Kong",3212
Brazil,3038
Belgium,2823
Spain,2720
Sweden,2641
"Korea, Republic of",2507
"South Africa",2496
Norway,2411
Denmark,2069
Russia,2041
Malaysia,1975
Philippines,1931
Ireland,1609
Mexico,1471
Kenya,1343
"Czech Republic",1313
Austria,1240
Portugal,1181
Poland,1105
Nigeria,1070
Thailand,1054
Vietnam,1050
Greece,1031
Ukraine,975
"Russian Federation",883
Iran,871
Colombia,864
Romania,860
"United Arab Emirates",858
Bangladesh,822
Finland,818
Argentina,780
Hungary,717
Iraq,688
Egypt,564
Estonia,561
Zimbabwe,515
"Iran, Islamic Republic of",490
Kazakhstan,454
Ghana,426
Lithuania,423
Algeria,405
Lebanon,380
Cambodia,376
Ethiopia,376
Serbia,375
"Saudi Arabia",367
"Sri Lanka",365
Latvia,327
Morocco,321
Bulgaria,317
Afghanistan,284
Chile,279
Georgia,277
Nepal,257
Azerbaijan,232
Slovakia,229
Uganda,227
Slovenia,225
Croatia,217
Ecuador,217
Jordan,213
Armenia,205
Peru,199
Myanmar,195
Qatar,192
Somalia,175
Botswana,173
"Bosnia and Herzegovina",151
Iceland,142
Macao,138
Luxembourg,135
"Trinidad and Tobago",132
Albania,130
Kuwait,124
Belarus,122
Tanzania,117
Oman,115
Cyprus,112
"Papua New Guinea",110
Cameroon,107
Jamaica,100
Tunisia,99
Liberia,95
Mauritius,91
Bahrain,87
Venezuela,82
Fiji,78
Kyrgyzstan,74
Cuba,72
Guatemala,70
"Costa Rica",68
Seychelles,66
"South Sudan",66
"Dominican Republic",65
Malta,62
Zambia,61
Panama,59
"Tanzania, United Republic of",58
Palestine,56
Rwanda,54
Malawi,53
Syria,53
Uzbekistan,49
"Puerto Rico",47
Mongolia,46
Brunei,44
Moldova,42
Barbados,41
Sudan,40
Uruguay,40
"Côte d'Ivoire",39
"Brunei Darussalam",37
"Palestinian Territory",35
"El Salvador",34
Maldives,34
"Sierra Leone",33
Mali,32
Bermuda,31
Namibia,31
Lesotho,29
Macedonia,29
"Burkina Faso",27
Gambia,26
Montenegro,26
Senegal,25
Bahamas,23
Paraguay,23
Mozambique,22
Swaziland,22
Nicaragua,21
Angola,19
Bhutan,19
Jersey,19
Guyana,18
Tajikistan,17
Honduras,15
Libya,14
Bolivia,13
"Moldova, Republic of",13
"Cote d'Ivoire",12
Yemen,12
Belize,11
Djibouti,11
Guam,11
Martinique,10
Burundi,9
Gibraltar,9
Madagascar,9
"Syrian Arab Republic",9
"American Samoa",8
"Congo, The Democratic Republic of the",8
"Antigua and Barbuda",7
"French Polynesia",7
Laos,7
"Libyan Arab Jamahiriya",7
Gabon,6
Turkmenistan,6
Niger,5
"The Democratic Republic Of Congo",5
Aruba,4
"Cayman Islands",4
Guernsey,4
"Isle Of Man",4
Monaco,4
"Solomon Islands",4
Suriname,4
Timor-Leste,4
Togo,4
Benin,3
"Cape Verde",3
Curaçao,3
Grenada,3
Haiti,3
Reunion,3
Samoa,3
Timor,3
Andorra,2
Guadeloupe,2
"Lao People's Democratic Republic",2
