Journal Name,,Publisher,,Platform,ISSN,eISSN,Metric,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,TOTAL
Total for all journals,,,,,,,Article Views,104290,97430,122703,225725,315739,313442,219436,192610,237120,293130,301298,228611,28533,2680067
Total for all journals,,,,,,,PDF Downloads,77779,72889,87991,121020,174453,166203,118196,126197,144511,161848,155946,128554,16924,1552511
African Arts,,"James S. Coleman African Studies Center, University of California, Los Angeles",,JSTOR,0001-9933,,Article Views,3243,2813,3678,6064,10481,9947,6534,4864,6522,9265,10590,6712,746,81459
African Arts,,"James S. Coleman African Studies Center, University of California, Los Angeles",,JSTOR,0001-9933,,PDF Downloads,2441,2264,2746,3448,5077,5956,3097,7776,3786,5046,5401,3509,393,50940
Assemblage,,MIT Press,,JSTOR,0889-3012,,Article Views,1202,1053,1303,2367,3313,3417,2233,2387,3006,3366,3322,2639,327,29935
Assemblage,,MIT Press,,JSTOR,0889-3012,,PDF Downloads,1034,858,1199,1730,2203,1980,1399,1679,2483,2803,1941,1458,187,20954
Computer Music Journal,,MIT Press,,JSTOR,0148-9267,1531-5169,Article Views,1293,1343,1393,2156,3458,3146,2412,2302,2516,3140,3261,2781,339,29540
Computer Music Journal,,MIT Press,,JSTOR,0148-9267,1531-5169,PDF Downloads,875,952,792,934,1387,1359,1279,1202,1128,1590,1349,1301,183,14331
Daedalus,,American Academy of Arts & Sciences,,JSTOR,0011-5266,,Article Views,16388,15940,21242,54779,42140,41291,33694,27302,33441,39069,41264,30729,3745,401024
Daedalus,,American Academy of Arts & Sciences,,JSTOR,0011-5266,,PDF Downloads,8799,8596,10088,14488,19803,18746,13759,13949,15061,18230,18628,14693,1947,176787
Design Issues,,MIT Press,,JSTOR,0747-9360,1531-4790,Article Views,3340,3153,4583,6691,9034,8430,5361,6579,8175,10362,9732,6711,908,83059
Design Issues,,MIT Press,,JSTOR,0747-9360,1531-4790,PDF Downloads,2382,2560,3458,3980,4457,4092,3541,3886,5131,5340,4867,3974,519,48187
Education Finance and Policy,,MIT Press,,JSTOR,1557-3060,1557-3079,Article Views,317,266,183,537,767,718,433,419,723,714,770,527,67,6441
Education Finance and Policy,,MIT Press,,JSTOR,1557-3060,1557-3079,PDF Downloads,274,253,139,280,370,304,168,190,404,381,413,279,44,3499
Grey Room,,MIT Press,,JSTOR,1526-3819,1536-0105,Article Views,1245,1065,1398,2603,3746,3747,2535,2314,2896,3383,3414,2687,311,31344
Grey Room,,MIT Press,,JSTOR,1526-3819,1536-0105,PDF Downloads,1043,982,1228,1738,2257,2087,1508,2288,1799,2100,1880,1555,172,20637
International Organization,,Cambridge University Press; MIT Press; University of Wisconsin Press,,JSTOR,0020-8183,1531-5088,Article Views,12245,12169,16761,29039,48194,44619,30272,27983,34084,39045,38920,31735,3870,368936
