Landing Page,Source,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
/loi/adev,google,"1,623",61.86%,"1,004",8.07%,7.3,0:03:16,0,$0.00,0.00%
/loi/adev,(direct),509,60.12%,306,4.32%,7.99,0:04:04,0,$0.00,0.00%
/loi/adev,bing,51,70.59%,36,0.00%,4.57,0:02:02,0,$0.00,0.00%
/loi/adev,adb.org,44,50.00%,22,50.00%,1.98,0:05:06,0,$0.00,0.00%
/loi/adev,jesusfelipe.com,36,80.56%,29,19.44%,1.83,<00:00:01,0,$0.00,0.00%
/loi/adev,asean-cites.org,29,51.72%,15,24.14%,11.79,0:01:55,0,$0.00,0.00%
/loi/adev,cn.bing.com,29,24.14%,7,0.00%,5.03,0:01:51,0,$0.00,0.00%
/loi/adev,doaj.org,22,31.82%,7,0.00%,47,0:14:58,0,$0.00,0.00%
/loi/adev,park.itc.u-tokyo.ac.jp,22,68.18%,15,0.00%,2.64,0:00:45,0,$0.00,0.00%
/loi/adev,10.0.0.7,15,100.00%,15,0.00%,2.93,0:00:08,0,$0.00,0.00%
/loi/adev,Facebook,15,100.00%,15,46.67%,1.47,0:00:00,0,$0.00,0.00%
/loi/adev,mail.google.com,15,46.67%,7,0.00%,9.73,0:08:18,0,$0.00,0.00%
/loi/adev,sites.google.com,15,100.00%,15,0.00%,2.93,0:00:52,0,$0.00,0.00%
/loi/adev,staging.www.mitpressjournals.org,15,0.00%,0,0.00%,8.27,0:11:30,0,$0.00,0.00%
/loi/adev,transacl.org,15,0.00%,0,0.00%,244.07,1:16:35,0,$0.00,0.00%
/loi/adev,twitter,15,46.67%,7,0.00%,1.93,0:00:03,0,$0.00,0.00%
/loi/adev,baidu,7,100.00%,7,0.00%,6.29,0:00:21,0,$0.00,0.00%
/loi/adev,coreej.cceu.org.cn:3410,7,100.00%,7,0.00%,2.14,0:00:00,0,$0.00,0.00%
/loi/adev,efm.aeaweb.org,7,100.00%,7,0.00%,4.14,0:00:57,0,$0.00,0.00%
/loi/adev,en.m.wikipedia.org,7,100.00%,7,100.00%,1,0:00:00,0,$0.00,0.00%
/loi/adev,en.ruc.findplus.cn,7,100.00%,7,0.00%,4.14,0:01:12,0,$0.00,0.00%
/loi/adev,en.wikipedia.org,7,100.00%,7,0.00%,2.14,0:00:01,0,$0.00,0.00%
/loi/adev,jira.atypon.com,7,0.00%,0,0.00%,3.14,0:00:16,0,$0.00,0.00%
/loi/adev,k-nexus.adb.org,7,100.00%,7,0.00%,2.14,0:00:01,0,$0.00,0.00%
/loi/adev,login.proxy.library.ucsb.edu:9443,7,100.00%,7,100.00%,1,0:00:00,0,$0.00,0.00%
/loi/adev,m.facebook.com,7,100.00%,7,0.00%,3.14,0:00:45,0,$0.00,0.00%
/loi/adev,meta.lib.ncu.edu.tw:3443,7,0.00%,0,0.00%,35.29,0:17:37,0,$0.00,0.00%
/loi/adev,mit-stag.literatumonline.com,7,0.00%,0,100.00%,1,0:00:00,0,$0.00,0.00%
/loi/adev,rsf.research.ac.ir,7,100.00%,7,0.00%,2.14,0:07:27,0,$0.00,0.00%
/loi/adev,scholar.google.ca,7,0.00%,0,0.00%,3.14,0:00:07,0,$0.00,0.00%
/loi/adev,scholar.google.com,7,0.00%,0,100.00%,1,0:00:00,0,$0.00,0.00%
/loi/adev,search.crossref.org,7,0.00%,0,0.00%,86.29,0:09:15,0,$0.00,0.00%
/loi/adev,sfx.lib.uts.edu.au,7,100.00%,7,0.00%,2.14,0:00:01,0,$0.00,0.00%
